"","gene_short_name","feature"
"MIR1302.2HG","MIR1302-2HG","NA"
"FAM138A","FAM138A","NA"
"OR4F5","OR4F5","NA"
"AL627309.1","AL627309.1","NA"
"AL627309.3","AL627309.3","NA"
"AL627309.2","AL627309.2","NA"
"AL627309.4","AL627309.4","NA"
"AL732372.1","AL732372.1","NA"
"OR4F29","OR4F29","NA"
"AC114498.1","AC114498.1","NA"
"OR4F16","OR4F16","NA"
"AL669831.2","AL669831.2","NA"
"AL669831.5","AL669831.5","NA"
"FAM87B","FAM87B","NA"
"LINC00115","LINC00115","NA"
"FAM41C","FAM41C","NA"
"AL645608.7","AL645608.7","NA"
"AL645608.3","AL645608.3","NA"
"AL645608.5","AL645608.5","NA"
"AL645608.1","AL645608.1","NA"
"SAMD11","SAMD11","NA"
"NOC2L","NOC2L","NA"
"KLHL17","KLHL17","NA"
"PLEKHN1","PLEKHN1","NA"
"PERM1","PERM1","NA"
"AL645608.8","AL645608.8","NA"
"HES4","HES4","NA"
"ISG15","ISG15","NA"
"AL645608.2","AL645608.2","NA"
"AGRN","AGRN","NA"
"AL645608.9","AL645608.9","NA"
"RNF223","RNF223","NA"
"C1orf159","C1ORF159","NA"
"LINC01342","LINC01342","NA"
"AL390719.2","AL390719.2","NA"
"TTLL10.AS1","TTLL10-AS1","NA"
"TTLL10","TTLL10","NA"
"TNFRSF18","TNFRSF18","NA"
"TNFRSF4","TNFRSF4","NA"
"SDF4","SDF4","NA"
"B3GALT6","B3GALT6","NA"
"C1QTNF12","C1QTNF12","NA"
"AL162741.1","AL162741.1","NA"
"UBE2J2","UBE2J2","NA"
"LINC01786","LINC01786","NA"
"SCNN1D","SCNN1D","NA"
"ACAP3","ACAP3","NA"
"PUSL1","PUSL1","NA"
"INTS11","INTS11","NA"
"CPTP","CPTP","NA"
"TAS1R3","TAS1R3","NA"
"DVL1","DVL1","NA"
"MXRA8","MXRA8","NA"
"AURKAIP1","AURKAIP1","NA"
"CCNL2","CCNL2","NA"
"MRPL20","MRPL20","NA"
"AL391244.3","AL391244.3","NA"
"ANKRD65","ANKRD65","NA"
"AL391244.2","AL391244.2","NA"
"TMEM88B","TMEM88B","NA"
"LINC01770","LINC01770","NA"
"VWA1","VWA1","NA"
"ATAD3C","ATAD3C","NA"
"ATAD3B","ATAD3B","NA"
"ATAD3A","ATAD3A","NA"
"TMEM240","TMEM240","NA"
"SSU72","SSU72","NA"
"AL645728.1","AL645728.1","NA"
"FNDC10","FNDC10","NA"
"AL691432.2","AL691432.2","NA"
"MIB2","MIB2","NA"
"MMP23B","MMP23B","NA"
"CDK11B","CDK11B","NA"
"FO704657.1","FO704657.1","NA"
"SLC35E2B","SLC35E2B","NA"
"CDK11A","CDK11A","NA"
"SLC35E2A","SLC35E2A","NA"
"NADK","NADK","NA"
"GNB1","GNB1","NA"
"AL109917.1","AL109917.1","NA"
"CALML6","CALML6","NA"
"TMEM52","TMEM52","NA"
"CFAP74","CFAP74","NA"
"AL391845.2","AL391845.2","NA"
"GABRD","GABRD","NA"
"AL391845.1","AL391845.1","NA"
"PRKCZ","PRKCZ","NA"
"AL590822.2","AL590822.2","NA"
"PRKCZ.AS1","PRKCZ-AS1","NA"
"FAAP20","FAAP20","NA"
"AL590822.1","AL590822.1","NA"
"SKI","SKI","NA"
"MORN1","MORN1","NA"
"RER1","RER1","NA"
"PEX10","PEX10","NA"
"PLCH2","PLCH2","NA"
"AL139246.1","AL139246.1","NA"
"AL139246.4","AL139246.4","NA"
"PANK4","PANK4","NA"
"HES5","HES5","NA"
"AL139246.5","AL139246.5","NA"
"TNFRSF14.AS1","TNFRSF14-AS1","NA"
"TNFRSF14","TNFRSF14","NA"
"AL139246.3","AL139246.3","NA"
"FAM213B","FAM213B","NA"
"MMEL1","MMEL1","NA"
"AL831784.1","AL831784.1","NA"
"TTC34","TTC34","NA"
"AC242022.1","AC242022.1","NA"
"AL592464.2","AL592464.2","NA"
"AL592464.1","AL592464.1","NA"
"AL589702.1","AL589702.1","NA"
"ACTRT2","ACTRT2","NA"
"LINC00982","LINC00982","NA"
"PRDM16","PRDM16","NA"
"AL008733.1","AL008733.1","NA"
"AL590438.1","AL590438.1","NA"
"ARHGEF16","ARHGEF16","NA"
"AL512413.1","AL512413.1","NA"
"MEGF6","MEGF6","NA"
"AL513320.1","AL513320.1","NA"
"TPRG1L","TPRG1L","NA"
"WRAP73","WRAP73","NA"
"TP73","TP73","NA"
"AL136528.1","AL136528.1","NA"
"AL136528.2","AL136528.2","NA"
"CCDC27","CCDC27","NA"
"SMIM1","SMIM1","NA"
"LRRC47","LRRC47","NA"
"AL365330.1","AL365330.1","NA"
"CEP104","CEP104","NA"
"DFFB","DFFB","NA"
"C1orf174","C1ORF174","NA"
"LINC01134","LINC01134","NA"
"LINC01346","LINC01346","NA"
"LINC01345","LINC01345","NA"
"AL805961.1","AL805961.1","NA"
"AL805961.2","AL805961.2","NA"
"LINC01777","LINC01777","NA"
"AL355602.1","AL355602.1","NA"
"Z98747.1","Z98747.1","NA"
"LINC01646","LINC01646","NA"
"AJAP1","AJAP1","NA"
"BX005132.2","BX005132.2","NA"
"BX005132.1","BX005132.1","NA"
"AL691497.1","AL691497.1","NA"
"AL139823.1","AL139823.1","NA"
"Z98259.3","Z98259.3","NA"
"Z98259.2","Z98259.2","NA"
"Z98259.1","Z98259.1","NA"
"AL365255.1","AL365255.1","NA"
"NPHP4","NPHP4","NA"
"KCNAB2","KCNAB2","NA"
"CHD5","CHD5","NA"
"RPL22","RPL22","NA"
"AL031847.1","AL031847.1","NA"
"RNF207","RNF207","NA"
"ICMT","ICMT","NA"
"LINC00337","LINC00337","NA"
"HES3","HES3","NA"
"GPR153","GPR153","NA"
"ACOT7","ACOT7","NA"
"AL031848.2","AL031848.2","NA"
"HES2","HES2","NA"
"ESPN","ESPN","NA"
"AL031848.1","AL031848.1","NA"
"TNFRSF25","TNFRSF25","NA"
"PLEKHG5","PLEKHG5","NA"
"NOL9","NOL9","NA"
"TAS1R1","TAS1R1","NA"
"ZBTB48","ZBTB48","NA"
"KLHL21","KLHL21","NA"
"PHF13","PHF13","NA"
"THAP3","THAP3","NA"
"DNAJC11","DNAJC11","NA"
"LINC01672","LINC01672","NA"
"AL591163.1","AL591163.1","NA"
"CAMTA1.DT","CAMTA1-DT","NA"
"CAMTA1","CAMTA1","NA"
"AL512330.1","AL512330.1","NA"
"Z97987.1","Z97987.1","NA"
"AL365194.1","AL365194.1","NA"
"AL359881.3","AL359881.3","NA"
"AL359881.2","AL359881.2","NA"
"AL359881.1","AL359881.1","NA"
"VAMP3","VAMP3","NA"
"PER3","PER3","NA"
"Z98884.1","Z98884.1","NA"
"UTS2","UTS2","NA"
"TNFRSF9","TNFRSF9","NA"
"PARK7","PARK7","NA"
"AL034417.4","AL034417.4","NA"
"AL034417.3","AL034417.3","NA"
"ERRFI1","ERRFI1","NA"
"AL034417.2","AL034417.2","NA"
"LINC01714","LINC01714","NA"
"AL358876.2","AL358876.2","NA"
"SLC45A1","SLC45A1","NA"
"RERE","RERE","NA"
"AL096855.1","AL096855.1","NA"
